INCIDENCECODE,DESCRIPTION
3953989658268_0,murieron
3953989658268_1,Paul
3954017553236,parecido
3959368890383_1,Amaya
3964690919664_0,causó
3964690919664_1,refugiaron
3965609006619_0,llegar
3965609006619_1,ganó
3974236602669,adquirió
3980730578145_0,quiere
3980730578145_1,mandó
3981107106302,celebró
3985319603,compararon
3986726683933,alegadas
3988115115880,suponer
3994796128127,teman
3999453406154,CC.OO
4006450606144,fallaron
4006802799489,despedida
4013137538973,detenido
4017202438682,acercó
4023332995646_1,Guthrie
4023332995646_2,Mayor
4023341081251,demagogias
4025317477612_0,reverberó
4025317477612_1,RODRIGO
4025392147701_1,prolongarse
4026091668137_0,es
4026091668137_1,informaban
4026091668137_2,Gustavo
4026091668137_3,lograron
4032848379949,teníamos
4033810685942,Javier
4036133836973,traduzco
4043189071571_1,sumergirse
4048358207895,Ejército
4050878700209_1,realizar
4056159008485_1,Madrid
4060788669011_1,Nigeria
4062706292367,resulta
4065125888323,escapar
4069237531393,habíanpresentado
4074328305717_0,calificada
4074328305717_1,dirigía
4074328305717_2,produjo
4074328305717_3,Cristóbal
4075192795342_0,dirección
4075192795342_1,buenos
4084583604115_0,queda
4084583604115_1,crrear
4086099493229,emplear
4087417584708,hacer
4098418524743,está
4099505653725_0,imputados
4099505653725_1,Mr
4099505653725_2,contribuido
4104348695911,Real
4105000208155,padres
4106103629225_1,Unión
4109179972748_0,dado
4109179972748_1,planteado
4115575710798,culpa
4115603151329,creado
4116495905508_0,informa
4116495905508_1,aprovechar
4116495905508_2,Gobierno
4116495905508_3,descubrió
4116495905508_4,Hasi
4118105002854,determinados
4121094315580_0,vuelve
4121094315580_1,jugar
4121094315580_2,Arnés
412193478235_1,saturados
4122472504624,inversión
4124397949455_0,punto
4124397949455_1,telecomunicaciones
4124823815540_1,mar
4124861435934,enfrentase
4125476943065_1,reciente
4127015738289,Carlos
4127893503253,hace
4128825860648_0,dato
4128825860648_1,disputan
4130530398323_0,decidió
4130530398323_1,quedarme
4130530398323_2,incendiaron
4137368791905_0,salido
4137368791905_1,cantidad
4137564957834_0,compendian
4137564957834_1,une
413942574972,Carlos
4140570658081,está
4140668844452,olvidar
4143107077883,partido
4143828512963_0,Hizo
4143828512963_1,tenía
4147502727319_0,moral
4147502727319_1,era
4150519500117,trata
4153293861462,conocer
4155194855724,Sé
4159169317663,experimentado
4160508729885_0,Talavera
4160508729885_1,Zidane
4172100822234_0,atacó
4172100822234_1,parado
4176126305696_1,Hace
4185982911531,Madrid?-No
419046216604_0,Haciendas
419046216604_1,Jorge
4193806879630,fue
4195367675183,estaban
4196067595750_1,nueva
4197635343633,ganar
4199994551790,recuerdo
4206068743799,adaptar
4209524404635_1,unidades
4209524404635_2,trabajar
4213275240605_1,armada
4221250314659,competir
4226465363416,puso
4231009066829,muerto
4231024538078,imprevisto
4233198027896,rectificar
4239037056717_0,obligaron
4239037056717_2,guiarme
4239904513874,pierde
4244651980343,paseó
4244849849439,Miguel
4246231226200,variarán
4249429987119,parisino
4251146972011,celebrar
4251981976838,define
4259757010703,exilio
4269814104853_0,Hagens
4269814104853_1,descansen
4269814104853_2,PP
4271315921629_0,comentó
4271315921629_1,Barça)Tenista«Me
4272691874838_1,informó
4272691874838_2,caído
4272691874838_3,Administraciones
4280469229659_1,ganar
4280469229659_2,dicen
4291262665672_1,llegan
4294395527456_0,tomadas
4294395527456_1,importante
4299514314618,exige
430310011028_1,Barça
4304892310154_0,nuevos
4304892310154_1,goleadora
4308235938647,autoridad
4309673626040,prevista
4311820663477,explicó
4314596682757,explosiva mayor
4314851743368,jugaría
4316914041749,puntos
4321925578360,tratadas
4323856186516,entienda
4324161158098_1,define
4327709920202_0,Juan
4327709920202_1,comía
4327709920202_2,Administraciones
4327709920202_3,negociar
4333793485372,imputándoles
4334981604883_1,depositados
4337505294638_0,capitán
4337505294638_1,Bouard
4342362169045,cambio
4345719718904,Yihad
4345936888751,aseguraba
4349605879064_1,instalar
4350969779315,formaba
4352650554312,revisarse
4354914255552_1,logra
4359732132540_1,acompaña
4364811007810,morder
4364937651595_0,diarios
4364937651595_1,Nuevo
43656177177_1,demuestra
4372219980572,pueden
4380748852587,tropieza
4386051919481,conocer
4386621330604,considerado
4392444029152,compararon
4394608142547,engatusar
4396164708929,puntos
4398866124034_1,eleva
4400455849193,industria
4403334366020_0,añade
4403334366020_1,organizar
4412079018959,enfatizó
4412269908454,adaptan
4417113311561_0,originar
4417113311561_1,alcanzaron
4417113311561_2,paulatinos
442024987291,descargando
4421176201712,perseguía
4423086671223_0,Barcelona
4423086671223_1,Tony
4424593842416,considera
4424859724910,pasó
4427559861037_1,sufrió
4427559861037_2,localidades Estado
4430582745375,reside
4435875920420,tiene
4446318665680_1,dijeron
4455095880301,supervisar
4457252128782,fantástico
4463857283890_1,causado
446438805756_1,mira
446438805756_2,estela Comunidad
4465640408726_0,live
4465640408726_1,acelerar
4468232094442,embrionarias
4468322535557,contrario.-
4471326354550_0,sometido
4471326354550_1,abandonar
4471326354550_2,tener
4471326354550_3,compara
4488324682400_1,Sucede
4496942010493_1,desarrollar
4502841733793,explicado
4503755644109,producción
4506432887694_0,cerraban
4506432887694_1,Da´i
4507271349387,acompañado
4507816161694_1,compre
4507816161694_2,Fundación
4508238930694,arrebatadora enamorado
451979563312,deltraslado
4520506469747,Míchel
4522222734412_1,Sabemos
4522222734412_2,saltar
4523804891718_1,zona?-
4523804891718_2,XXI
4525896759778,quiere
45329670080,ganaron
4541832377211,volvía
4545921391268_0,Rául
4545921391268_1,recogidas
4545921391268_2,fue
4545921391268_3,es
4549207747523,monjas
4550556049424,participado
4553476375959_1,humo
4553476375959_2,dicen
455591622752,jugar
4557866146794,kilómetros
4558642131545,mercado
4564316716276_1,comenta
4564923767303_1,navegación
4567336047524,reuniones
4573232078659,familia
4573491259090,casarse
4574413566051_1,Takamado
4574413566051_2,hemiciclo
4574413566051_3,buenas
4577490361635,ganar
4579333298194,tiene
4581655755951,proyecto
4583410598750_0,avanzadas desnudas
4583410598750_1,familia
4583410598750_2,anticipa
4586402371084_1,segura
4587059758756,convierte
4587883977109,tenía
4594443279350,trasladó
4596846268956_1,celebrar
4604906113622,subían
4610756235196_1,Ministerio
4610756235196_2,Bruce
4611432790207_0,costado
4611432790207_1,tiene indagan
4611432790207_2,Jerusalén
4614192416927_1,dirige
462315505506,manifestó
4624142559863,recibido
4634807353672,logrado
4638304044615,lógico
464059168423,proporcionando
4644471919168,pidió
4647254280315,esperaba
4650721091139_1,olvidado
4651347160089_1,Van
4666998538968_1,reacciona
4667901822233,años
4675378906339,incendiadas
4675703232686_0,vio
4675703232686_1,reacciona
4691994753170,guiarme
4698627007413_1,ha
4698627007413_2,graparan
4698627007413_3,hacía
4702410722828,playeros
4704739019538_0,implicará
4704739019538_1,enfrentase
4704739019538_2,desarrollar
4704739019538_3,esperar
4705572449167_1,protagonizadas
4717743445025_1,Jujuy
4717743445025_2,sobresaliendo
472750351016,intenta
4727524173867,motivó
4728394254813,eincluso
4733751965219,actual
473388550058,importante
4735449014003_1,servir
4735449014003_2,fecha
4735633156213,trataría
4736268658580,enfrentasen
4744139345016,detectarse
4749551130200_0,Cristina
4749551130200_1,haciéndolo
4751542837283,Medina
4751545361451_1,proteger
4751951895602,Jugamos
4753011077229,perder
4754737114386_1,escapó
4754737114386_2,aceleró
4758114885528_0,viven
4758114885528_1,elecciones
4761235951043_0,originan
4761235951043_1,final
4762847090246,Defender
47647859779,encoge
476532034110,contrató
4766291121694,neutra
4772348606324,advertido
4775529718478_1,propiciada
4775529718478_2,quedarme
4776605874557,tener
4778319071071,España
4778485703171_1,cuestionó
4780222728786_0,Stéfano
4780222728786_1,Ferrer
4780572636402,balón
4787587581638_1,IAC
47887143542_1,actual
4794699911488,posibilidad
4805341063947,ostentaba
4806129637666,parar
4817358261666,lanzar
482552361081,francés
4826967171196,demuestra
4827489144275,presunto
4830747297134_1,gusta
4830747297134_2,premio
4832397558619_1,morder
4834316818922_1,Charles
4836263528815,agradeció
4837333840417,France
4842353943650,contribuir
4845820531767,hambre
4846173445504,debe hacía
4864982855754,encuentran
486615172850,quiere
4867478512427_0,restaurar
4867478512427_1,anárquico
4869159472888_1,adoptados
4871135011481_1,previstas
4871135011481_2,leer
4872475572013,democrática
4876277641473,comenta
4886044096203_1,Pensábamos
4886627108300,medran
4887291240464,año
4890600856688,explicó
4890808524622,diario
4890982519855_1,circulaba
489570103006,advierte
4895760939085,apelan
4900841321306_0,»
4900841321306_1,Emili
4908494320289_1,introduce
4908494320289_2,rompen
4914460109512_1,Prince
4917299775121_1,definamos
4917993667088_1,añadió
4923387832963_1,explica
4923387832963_2,gran
4925493641620_0,José
4925493641620_1,Madrid
4926702925815,jugado
4929440872766,XVI
4939064392381_0,vecino
4939064392381_1,películas
494521234912,escritos
4946085557742,Merma
4959524323128,hace
4963103712611_1,destilan
496395176140,participado
4966726332749_1,publicaron
4970953051228,supondrá
4975496373251,fijar
4977502664203,luegoel
4978805556031,Impelidos
4981437935437_1,palestinos
4983082220355_0,Conoce
4983082220355_1,observaron
4983082220355_2,enCotorredondo
4983082220355_3,escogían
4988777313319_0,convertido
4988777313319_1,traslada
4988823335495_1,compañeros
4989241952964_0,Sol
4989241952964_1,Barber
4992573602531,protegerse
4995062473708,tuvo
5000237263828,ocupó
5004689161763,Madrid
5009264693656,fue
5009804573308_1,pide
5012452934290,CD
5018232225904,racistas
5026396929793,provocó
5038474565945_0,realizar
5038474565945_1,aplicando
5038798243254_1,tiene
503901086221_1,logro
5039070370916,analizar
5042865213057,chico
5044951581093,gol
5052886534966_1,aumentar
5062151485198_1,falsa
5062950636374,Kristofferson).Prince
5065645439129,presenta
5066573845181,amenazaba
5069211902431_1,acabo
5069211902431_2,Madrid
5069211902431_3,niegue
5072981321344_1,ganaron
5077014273905,ABC
5077816689806,entorno
5080693048543_0,tuvo
5080693048543_1,dejado
5088358057448_1,Apostolus
5088358057448_2,Inglaterra
5090071883779,ver
5092284130644_1,pensé
509286503308,cantante
5098217411137,medidas
5099418221525_1,comenzar
5101546617472,pierde
5111885948478_1,ve
5116402409772,estuvo
5126005526481,momento
5128999783673,realizar
5130364800652_0,DivX
5130364800652_1,Arrabal
5131403590877_0,gusta
5131403590877_1,Montzka
5132170941149,supone
5146400019965,millones
5146525050874,conocer
5149775812543,buque
5150287303491,mitad
515200865019_1,escapar
5153565447917_1,estar
5155233916477_0,girl
5155233916477_1,Bawa
5158773986929,finalizar
5159170667093,humanos
5161826705081_1,GeorgeW.Bush
5164164441410,elegida
5166705820233,doy
5171233113391,risas
5173355754198_1,rechaza
5173560663891_0,vivía
5173560663891_1,da
5173712716428_1,trocaban
5186474324027_1,controles
518732413820_0,vivió
518732413820_1,gibraltareña
5193863346991,Shakira
5206079982187,formó
5206790756232,elaborados
5209597447822_1,vi
5214795521019,reconoció
5216682961844,recibido
5218408466549,existe
5225879992188_0,tema
5225879992188_1,establecer
5226628229159_0,ido?-Llegué
5226628229159_1,tienes
5226628229159_2,conocemos
5234742841813_1,protestaron
5234742841813_2,novena
5234742841813_3,admiten
5240514545514_1,Intentamos
5240645757861,conocí
5241451764696,comerciales
5243381179515_1,amontonándose
5247080917274,vivió
5248945356569,tendría
5254433960209_1,retornar
5257746011037_1,pierde
5259428851764_1,actual
5260986138642_1,adquieren
5262908097558,Río
5264044277903_0,Prefiero dice
5264044277903_1,mal
5264467923573,empresa
526499084790,Roberto
5265534503278,permanencia
5270796279171,cielos
527205620174,nuevo
5273462532491_0,rechazado
5273462532491_1,Ejército
5276549617301,decían
5277572124725_1,sabía
5277572124725_2,gravitatorio
528318118494,texto
5283203586319,Civil
5285012607267,describe
5286153448080,consejero
5288087587132_0,"común""--"
5288087587132_1,salen
5288087587132_2,previsible
5297487535754,catarsis
530093404933,producirse
530954583799,imagen
5312258272200_1,Gloria
5312258272200_2,»
5313501036781_1,arribar
5313501036781_2,parecer
5313501036781_3,encarna
5313501036781_4,variarán
5313501036781_5,Medina
5315960565749,Astrophysics
5316886531997_0,fija
5316886531997_1,contar
5317131343851_0,reconocen
5317131343851_1,hospitales
5329010667530_0,Ciencia
5329010667530_1,Estados
5334825283705,distintas
5338657304434_0,espera
5338657304434_1,diferenciarse
534158966955_1,Navarra
5342671517914,vacía
5347191085609_1,volvería
5349615155102_1,desarrollaría
5350486184363,instaurar
5353709414392,marcharme
5354853718644_1,tardará
5356448710044,enorme
5361361676017_0,ilegales
5361361676017_1,marca
5362763343242_1,Ronaldo
5365104423231,acusados
536566232891,acompañada
5370843593915_1,participado
5371238347692_1,negro
5373022306357_1,surgen
537584352597_0,enCotorredondo
537584352597_1,negociando
537584352597_2,muerto
5376266552842,acabado
5376736753077,primer
5387225052544,españoles
5389065950753_0,disputar
5389065950753_1,pidieron
5394475372660_1,programe
5394475372660_2,Samudra
5394591581780_1,médico oficial
540227844332,desear
5415424982400,brasileño
5415942249989,encontraba
5418937731935,Gobierno
542335782033_1,Barcelona
542335782033_2,Audiencia
542335782033_3,Alger
5424351678196,extensa
5424543613333,luz
5428287153401,espíritu
542901179186_0,contrató
542901179186_1,transformaba
542901179186_2,Izquierda
5431567214789,reducirá
5431736387832_1,convirtiendo
5439865747621_1,interrumpir
5439865747621_2,noto
5445932534855,han
5447249339145,consiguieron
5447743947420_0,mata
5447743947420_1,concluyó
5448502570994_1,vivieron
545236912194,equilibrio
5455945479209,CC.OO
545912442273_0,Moscú
545912442273_1,Madrid)Humorista«Al
5460130540774_1,realizaba
5463052582622_1,hizo
5464208093113_1,lleva
5467618542359_0,reconocido
5467618542359_1,explicaron
5470110914915_1,eclesiásticas
5470110914915_2,jugado
5502042031740_1,pensó
5504413606768,espera
5505243930701,informó
5505587634214_1,otro
5507559266574_2,Prestación
5512054500638,pidió
5516764872722_1,Bolivia
5516764872722_2,Comarca
5517385299823_0,Ve
5517385299823_1,bien?-No
5520036675964_2,española
5521532513454,ponga
5527333829586,cambiar
5530059443841_1,Nochevieja
5532230739594_0,entra
5532230739594_1,aportadas
553373835344,tiene
5534871816629_0,obtener
5534871816629_1,José
5537380689787_0,acabó
5537380689787_1,toco
5537380689787_2,compensar
5537380689787_3,derivan
5545689512237,gestión
5546024962470_1,israelíes
5548612944413,incluir
5554709582354,Diagonal
5555821246954,organiza
5556937175487_1,trabajos
5560604445585,dirigió
5563698034657_0,embarrancarlo
5563698034657_1,asesorar
556378093627_1,enfatizaronque
5566589966324_1,forzar
5566589966324_2,presenta
556727846341,esperaba
5568488208422_1,año
5568856395244,aparece
5572861291670,intento
5580043174910_1,Estado
5582375844769,ministerial
5582503105925,capital
5582889801701_0,Pegaría
5582889801701_1,resumió
5582889801701_2,reacciona
5590602361859,integran
5601812634667,deja
5606792485011_1,dijo
5607326664020,escribir presentan
5617800111736,entrenador
5619690215199_0,apropiado
5619690215199_1,acusados
5623180973745,supo
5624131854039,chillando
5641005723511,hecho
5644290939248,depositarla
5646665232667_1,prolongó
564833910700_1,Rodrigo.«Maricarmen
5651215028967_0,extiende
5651215028967_1,interferir
5651342670172,sofocar
5652386241023,esperanzadores
5652492892581_0,creo
5652492892581_1,perdido
5656399448260,recuerda
5659347704047,buenas
566205012785_1,murió
566680250108_0,cruzaba
566680250108_1,convierte
566680250108_2,solicitando
5667850413863,humanos buenos
5668537718703_1,lógico
5677684308449_1,blindados
5678037566198_0,tiene
5678037566198_1,recaer
5681425888060_0,BBVA
5681425888060_1,Valdoviño
5684788175879,llevar
5684977577766_1,siendo
568657748480,financiero
5688451528458,llegó
5690893050878_1,escriturado
5692019633467,superior
5694397271772,casos
5700080162916,tumores
5707565909571,construir
5717511265064,observaron
5726370138459_1,nació querecordó
5732721917138_0,estarán
5732721917138_1,hacerlo
5736095948684,criticó
5738996698740,chillando
5742926299001_1,casadas
5743027747322,movía
574481229975_0,Navidad
574481229975_1,despedirse
5746213757254,superado
5749723370556_0,leer
5749723370556_1,advierten
5751826981267,explotar
5753504172568,fracasado
575463466494_1,tenido
575463466494_2,empezaron
575463466494_3,escondió.-
575499952537_0,recibir
575499952537_1,recurren
575499952537_2,Giovanni
5756414318278_1,extiende
576580617359_0,es enveneno.-No
576580617359_1,regulan
576580617359_2,asturiano
5768059012509,abono
5775343846523,trasladado
5777150958444,Barcelona
5784432025671_0,compra
5784432025671_1,ayudar
5786681221137_1,Arrabal
5788590993857_0,configurar
5788590993857_1,Sevilla
5788590993857_2,Santana
5795233291278,negra
5796339154753,Athletic
5798597148244,vislumbra
5799142017360,hacía
5804076299469_1,reacciones
5804076299469_2,táctico
5808918539269,Don
581863906934_0,entrenado.-Se
581863906934_1,Tony
5818825694722_1,ayer
5820653959074,apariencia
5825797441597_0,ido
5825797441597_1,malos
5830470849837,habíanpresentado
5830962899508_1,intepretarán
5842402490655,vida
5843129803124_1,laboral
5848117989879_0,dude
5848117989879_1,C.
5849776716389,originó
585340361510_1,competir
585340361510_2,acompañaba
5855859608048,vivir
5856111471217_1,Raúl
5859138555354,presenta
5860222650358,interpretar
5861742408188_1,Claro
5864039481071,Gobierno
5878116998676_0,asumir
5878116998676_1,realizado
5879379590735_1,punto
5883384966481,partir
5893304308590,estuviera
589540484378,retornar
589703801753,adultas-
5899260668645,palacio
5900625547562,negociando
5902908312982,confirmaron
5904514650668,implica
5905996809731,trata
590636021053,ordenada
5908653618465,han
5909542803683_1,Mastertrax
5912563992377,establecer
5913460735297_1,confesaba
5914081575124_1,arrestado
5915019352616,actuó
5920867141146,presta
5921592145456_1,material
5922119145139_1,interfieren
5922119145139_2,guste
5922119145139_3,Resources
5922119145139_4,Joaquín
5930408216079_0,atentar
5930408216079_1,entrado
5932303272604,echan
5932914183172_1,sacudió
5939039484515_0,echan
5939039484515_1,evitaron
594569783162_1,llevar
5948163073249,parado
5950941615666,pasado
5953066833009_0,regenerar
5953066833009_1,mejor
5960340535460_1,comencemos
5961538815170_0,Madrid
5961538815170_1,Juan
5961538815170_2,Estrecho
596166342242,descansen
5965023219711,inmediata
5965361040595_1,CC
5965791189083,quese
5972728387298,prototipo
5978298907072,derivados
5982853800630_0,Group
5982853800630_1,análisis
5986944890999,internacional
5987401282996_1,tienen
5987401282996_2,encuentran
5987551138868_0,niegan
5987551138868_1,Don
5987551138868_2,Annan
598875044464_1,mataron
5991441607710,paseó
5997617162849,llega
6000172962500_1,inmobiliaria
6003021156557,expresa
6007660623054,europea izquierdo ligada cercanos terapéuticos susocios
6007676043720,paraasistir
6012509615927,jugar
6014158002696_1,gente
6019233401936,importante?-
6020119314067_1,Cecilia
6020119314067_2,descendió
6024002369637,requieren
6025185028435,previsiones
6028043441098_1,euros
603089463184_1,Midlands
603089463184_2,inmuebles
6032839759229_0,Milagros
6032839759229_1,Serrano
6033710454184_1,denunciaron
6033710454184_2,utilizar
6035765495074_1,tenido
6035765495074_2,Alamo
6035765495074_3,Cruchaga
6037040586553,alcanzar
6038360695909,note
6038864230190_1,funciona
6044749356013,llegado
6045583446940,hablar
6048028822852,desencadenaron
6050500550030,margen
6052704080255_1,Columbia
6052704080255_2,Cataluña
6052907340035_1,crear
6060779126048,plantea
6063781625800_0,concretos
6063781625800_1,Madrid
6066935163386_1,reunió
6070102765563,construir
6072045336872,reducirá
6072150746252,resistencia
6075069859485,otorga
6075875100361_1,escribe
608056604694_0,estirar
608056604694_1,recapacitado
608056604694_2,permitan
6080790144714,relacionaba
6104205068665,animaron
6115779473227_1,enseñaba
6116238917793,sofocar
6118699297013_1,perdono
612443838248,sumergirse
6129944697164,Creo
613048143933,afanará
6130948091499,sindical
6146682386917,analizar
6153300473335_1,preste
6153300473335_2,echan
615425576658,rectificado
6157144849946,rápido
6159053636496,reptando
6160992155493,Raúl
6165963539651_1,Autonómica
6165963539651_2,Javier
6166904547890,afanaron
6167962457177,trabajar
6169817257269_0,Unión
6169817257269_1,allí
6169989020167_1,ponerle
6171727829580_1,época
617267646874,buen
6177948525353_0,explicó
6177948525353_1,haría
6178439101296_0,empezando
6178439101296_1,contar
6182367804423,jugar
6191190679479,vivirlo
6192574297610,fue
619772564103_1,hablando
6198526357774_0,destacar
6198526357774_1,jugo.-¿Sabe
620470409578_0,regaló
620470409578_1,obispos
6206443310175_0,proceso
6206443310175_1,miembros
6206443310175_2,regenerar
6206443310175_3,deeste
6206443310175_4,contribuir
6207241891773,primera
6207556909428,imputados
6210973841385,participaron
6211397550532,siente
6213026628813,entrado
6213611241558,medio
6214297964941,tenga
621512402884,imponer contratarle
6227906845805_0,quedarme
6227906845805_1,gustar
6228011761032,conserva
6232790143827,Quiero
6235255812849,administrativa
6236253317874,someter
6237039773345,convirtió
6239048230869,participaron
6241494612241,vida
624258828712_0,Madrid-
624258828712_1,he
624258828712_2,integrados
6253077053921_1,mar
6256062285456,interfieren
6259406700397_1,España
6267606714765,participamos
627468443169_0,trasladó
627468443169_1,asegura
627472812616,conocido
6279688312443,dijo
6282420102808,mujeres
6283153135801,afirman
628333036776,triste
6287220470792_0,celebrar
6287220470792_1,jugado
629392794423,sucedido
6294322280304,rebatir
6294770556489_1,San
6308869279707,negociando
6308988003783_0,Es
6308988003783_1,llevó
6314410938684_1,operacionesen
6324778703969_1,traerá
6326669179158,mató
6327101780559_1,aspira
6329271534219,Schleef
6333001544713_1,declare
6347783761634,mantenerse
6350865309037,traslada
635121299551,habitantes
6355113258347_1,parecen
6355167763793_0,operacionesen
6355167763793_1,mientra
6365804205922_1,reveló
6371700239931_1,huelga
6371700239931_2,realizado
6371700239931_3,prevenir
6371700239931_4,juega
6371893393395,Antonio
6375324355193_1,respectivos
63758666719_1,pantalón
6378540951927,programa
6387517879424,fines
6390853020484,policía necesaria
6393454392928,considera
6393715925123,actuó
6394156125641_1,conocer
6395214979968_0,hecho
6395214979968_1,es quiere
6395214979968_2,enroló
6397728909361,Kluivert
641069565650_0,confesó
641069565650_1,querecordó
6413184119942,tiene
6413844296346,enunciaría
6428261230094,celebró
6430956262351_1,Costa
6431199384149,pregunta
6433992351740_1,Sánchez
6439770777789_0,volara
6439770777789_1,agregó
6442142716081_1,presentan
6443085121840,dices
6445569171788,pasar
6453719430431_0,Madrid
6453719430431_1,islámica
6455125494602_1,extranjeros?-¿Cuál?-El
6456125602231,estándares
6462100486145,grada
646274474094_0,llegado
646274474094_1,tren
6463482904909_1,militarLa
6465159700199_0,económicas
6465159700199_1,París
6470054088802,Pérez
6470306419345,tenido
6471593799340,comenzaron
6473172111879,sabe
6474424202454,dan
6476597909015_1,Basri
6482348262816_1,viviendo
6488332232931,ocultó
6489497194186,está
6489543335571,ven
6492391681664,momento
6493799738089,realizará
6493945692353,reyes
6494634172997,asegura
6503387591582_1,dio
6503387591582_2,vacía
6506235325839,tenga
6519570124933,estás
6525680396843,mediada
6526658225832_1,estudiaran
6529512151853,Visto
6530165877762,pidió
6531293602123,defenderse
6533066787869_0,origina
6533066787869_1,tener
6533066787869_2,dar
6535566178417,Soporte
6540499275237_1,Es
6541625103260,programación
6545183534527_0,suponer
6545183534527_1,veces
6563345705094,puesta
6568004044432,sabe
6568732824115,despegar
6569677908966,dicen
6579017297240_1,presentada
6580788248029,respondiendo
6582576029204_0,adquirir
6582576029204_1,proteger
6582576029204_2,plana?Las
6582576029204_3,Raúl
658379860465_1,delictivo
6588814890365,impidió
658911115682,votado
6591341888878_1,representante
6598412176517_0,reducir
6598412176517_1,Tony
6598412176517_2,García
6598412176517_3,Mir
6602495786919,sobresaliendo
6602701174703_1,aportado
6602934763273,existe
6608116230525,privado
6611214316899_0,renunció
661207017834_1,confirmada
6613236258400,seres
6614260532455,pasado
6614523812247_1,Ayuntamientos
6617045134178,elijo
6623686951748_0,superior.-
6623686951748_1,bueno
6625372138772,contratos
6625651603248,propio
6643144166495_0,Es
6643144166495_1,entender
664433203954_1,anunciado
6645241111056,sancionados
6647880719229,indicó
6649272292219,importante
6649861879808_1,Ve
6653536844528,novedad
6662953064149,parecer
6664676018090,originó
6669660081274,tecnológico
6677750812297,vestía
6686983566167,combate
6690133621068,Merak
669111017673,tenemos.-Bueno
6694742243284_1,explicó
6694742243284_2,grumos
6695553132541_1,fallando
6695553132541_2,Miriam
6696765038872_0,palabras horarios
6696765038872_1,entiendeque
6697222084121,escapar
6697607356656,formaba
6701349995149_1,presidió
6702232111231,evitar
6702668711254,castrenses
6704111007870_0,probó
6704111007870_1,Victoria
6705037927669,subrayaron
6705289001140_0,rechazó
6705289001140_1,calmar
6705289001140_2,arma
6705336392930,abono.-
6709274410224,da
6715993394919_0,mejorando
6715993394919_1,adultas-
6715993394919_2,Ibex
6717107765130_1,lidiar
6723806386723_0,participan
6723806386723_1,dar
672844920843_0,música
672844920843_1,bolillos
6731456974406,repetir
6733432571674,inofensivo
6737841539265_1,niegan
6737841539265_2,decidido
6743794167543_1,tropieza
6747529173690,premios
6752685390032_0,jazzística
6752685390032_1,Ambiente
6755539485808_0,Montes
6755539485808_1,José
6757086539877,tuvimos
6762364234144_1,buenas
6768411533122,ex técnico cercado reciente casado
6770860481734_1,hizo
6770860481734_2,potenciar
6773088212726,fracasado
67741161539_1,ideal
6780267598885,Telecom
6784555831396_0,avanzó
6784555831396_1,supuso
6784555831396_2,hablar
6784555831396_3,manera.-¿Cree
6788842158075,contemplar
6790108220664,esclarecerá
6791604765553_1,dejándole
6805134825070_0,principal
6805134825070_1,creo
6809463574165_0,reconoció
6809463574165_1,fueron desarrollar
6815853645544,captura
6818334394402_1,Son
6824707467819,situarlos
6828676383615,concentrará
6832058969902,Dios
6843510786831,contaminada
6845225506938,dada
6846304056461,armónico
6846573757750_0,alertaron
