INCIDENCECODE,DESCRIPTION
6846573757750_1,PAMPLONA
6847860393951,establece
6851467587625,sacaría
685584399447,afirmó
6856602784403_1,sería crear
6858009445452,imagen
6860773003441_0,participó
6860773003441_1,preparar mantuvo
686771043159,disfuncional
687186054723,establecer
688196784615_0,Sur
688196784615_1,Joan
6883738474304,marque
6891790012733,hacía
6898019563373_0,mantuvo
6898019563373_1,imputándoles
6902991293495,cierra
6903552128871_0,dieron aprendió
6903552128871_1,cumplir
6906805311706,mete
6908001859519_1,confirmados
6908237317675,tenía
6911517946763,reconocido
6917553735794,evitaron
6918642086159_1,alcanzar
6918642086159_2,tocado
6918994042851_1,contribuir
6919303248667,justificar
6929798749098_1,incrementar
6929798749098_2,gallegas
6930314995602,iniciarse
6935856889642,mejor
6936870164390,afirmó
6937626836502_1,buscar
6937626836502_2,negando
6944945048838_0,manifestaba
6944945048838_1,mejorando
6944945048838_2,pensado
694682847048,Hugh
6950259001404,atraía?-
6959794671539,abandonaron
6960110558002,lasestructuras
6962180015488_1,Medio
6964416800326,permitiera
6968015016871_1,obtener
6968015016871_2,valores Aviación
6973539594648_1,Real
6973539594648_2,Plaza
698084920184,decimoseptimo nueva acusados claras sindical médica
6980870533806,marcado
6986801685588,sólida
6991142497865_0,plata
6991142497865_1,decisivo
6994048247394_0,corresponde
6994048247394_1,quedado
7012174763119_0,siendo
7012174763119_1,revalorizado
7020381711846_1,cambió
7027139912829,figura
7027579091860_1,presentes
7033487074500,hablando
7033500512018,maldicen
7037607758604_1,función
7042195262000,circulaba
7044637457857,traer
7045068435256_1,factible
7045068435256_2,avecina
7046085960315_1,puntos
7046085960315_2,sumó
7050472255868,explicar
7053128232765_1,contaminación
7053128232765_2,Tambourine
7053128232765_3,perder
7056548569004_0,proyecto
7056548569004_1,prevé
7056548569004_2,aumentar
7056548569004_3,continúe
7056548569004_4,conjurar
7062980841286,dijo
7067579849150,habla
706764183466,apretar
7072292546749_0,Destacó
7072292546749_1,Román
7074155562136,órganos
7076149108373,perdono
7080925898315_1,Mundo
7086407410051_1,dirige
7088649082807,pesan
7094329731586_1,condenados
7095150033956,sostuvo
7100432893992_1,medran
7102341936740_0,desarrollará
7102341936740_1,mató
7102385929738,actualiza
7103642530106,cambiar
7104225652748,alcanzar
7113000048022,cargar
7118743249782,practican
7119285307411_1,programaba
7119285307411_2,J1655
7119579065575_1,volvía
7119579065575_2,exige
7120172443876,PAMPLONA
7120185353242_0,Albacete
7120185353242_1,tiene
7127369249757,trepar?-No
7134313825180,error
7135856826042,reclama
7136733203411,dejándole
7140238264737,saberlo
7149356990006,brasileña
7154531863233,cuenta
7156691264592,debate
7161169618425,acudieron
7167460762573,corresponden
7167759394805_1,Santander
7172781480321,publicó
7173686670823_1,darle
7173686670823_3,Escuela
7173686670823_4,Centro
7175247189794,tuvo
7182676689282,dice
7192758765254,ganar
7193162279238_1,Lasidentidades
7193370525858,seres
7202438942583_0,significa
7202438942583_1,tiene?-Bueno
7206441752860_0,confía
7206441752860_1,estrenó
7208024920756,mantener
7213397607879_1,familiar
7214723992504,pasa
7217417941948,optar
7218253501600,tratar
7224773345737_1,aplicar
7227372861726_0,también
7227372861726_1,hispano
7229635370381_0,tiene
7229635370381_1,desesperar
7236630916994_0,olvidado
7236630916994_1,Natividad
7240259603258,hizo
7240569065118,CSU
7247839353587,top
7249164433457,siendo ha
7251898959577_1,confesó
7255153230176,excluir
7255641465135_0,desconfiado
7255641465135_1,suscrito
7259922486533_1,denunciar
7269540332362_0,contrasta
7269540332362_1,suicida
7272966477981_1,manifestó
7272966477981_2,Ciudad
727326407811_0,cambiar
727326407811_1,tocando
7275574068246,formaba
7282793325978,Necesitaremos
7284690703039_1,programaba
7285851691627_1,perdieron
7286170474597_1,disfruten
7286170474597_2,Ángel
7287858123763,plena
7292925067305,2003
7302233012890_1,Montreal
7303581899594,hay dice
7310282628198,denuncia
7310766163194_1,recuperar
7311930625493,largo
7311993511654,Unión
7312769290578,enfrentado
7315040980922,pública
7316558866208_1,Madrid
732207993010_1,impedían
732207993010_2,belleza Fiscalía
7328300889536,comenta
7334617576946,certificado
7335194990722,parado
7336947181060,acusan
7337783807939,Autonomías
733823184513,Desde
7340702433172,escucharle
7342658258269,mantuvo
7343538162870,enfrenta
7346905317514,privatizado
7349910899705,decisiones
7354186057831,integran
7357307499410_1,CD
7357307499410_2,España
7360157428207_1,Liceo?-Me
7360157428207_2,Orquesta
7360157428207_3,Luis
7364830100324_1,dijo
7364830100324_2,vivir
7366830357965,añade
7369251273123,creo
7370929313033_1,Madrid
7378176270707_0,desea
7380856533836,advertido
7380890606310_1,girl
7380899749766,gobiernan
7382831767005,comenzaron
7384880384902,encargado
7389360861886,otro».Con
7391594491239,sucesión
7404507220569_0,dice
7404507220569_1,fácil
7409494730068_1,Ericsson
7414107463872,imposible
7416398820718_1,"solvencia mundo"".Destacó"
7416398820718_2,Barcelona
7417016864739,surge
7417429287638_1,aguantaron
7419918936789_1,tienen
7419918936789_2,voy
7421968271701_1,abre
7425934348813,dictado
7426210656510,Israelian
7426294810905_1,dicen
742736292347,Sucede
7428380463067_0,juega
7428380463067_1,contar
7431862133433,perder
7437018302732_0,apoya
7437018302732_1,traumatizó
7437018302732_2,desempeñado
744037749532_1,conlleva
744037749532_2,secretario Mute
7447637191783,estado
7455362647820,clínica
7456328717067,ypolicías
745641473373,introducir
7458989670862_0,cerrar
7458989670862_1,animó
7461734685504,destaca
7474359281817,increíble
7475979557447_1,fue
7476640886225_1,canina
747746100916,tiene
7480731123409_0,importantes
7480731123409_1,muletazos
7481756717306,dirige
7487215654415_0,entiende
7487215654415_1,visitado
7487754719626,olvidado
7493132018445_1,tienen
7497835591823_0,fijó
7497835591823_1,realizó
7499886643579_1,Autonomías
7499886643579_2,situación
7504232703517,plantea
751014999937_0,mete
751014999937_1,trabajando
7515287034027,relacionan
7519025959202,han
752019619628_1,desalojado
7520856793544_0,circunstancias
7520856793544_1,emergencia
7524757892892_1,basanda
7524757892892_2,orden
7525169858977_0,acercar
7525169858977_1,Aseguró
7526461858278,aquí?-Mucho
7527752142115_0,israelíes
7527752142115_1,fue
7533050541474,tener
753451131858_1,Lola
7537308529909_0,Jugaría
7537308529909_1,vivido
754025700882_1,conjuntos
7542986189710_1,encabezado
7542986189710_2,forma
7544937840471,lógico
7547848914972_1,aplicando
7549343134919,experimentos
7552561041257_1,chillando
7552561041257_2,fijar
7560643953132_1,intento
7562549874064_1,sucedido
7564110620561,Encauzar
7576122476244_0,supervisar
7576122476244_1,intentado
7585568854165,desencadenaron
7587977099718,reflejan
7595191164002_1,Costa
760122942093,no
7606381014083,ganaba
7606713965970,británico segoviano
7606767563761,vivía
7607242464098_0,Zabala
7607242464098_1,Fernando
7608030732424_1,visto
7617938968431_1,creo
7619013382046_0,mujer
7619013382046_1,gusta
7620342034041,mantuvo
7622114032002_1,murió
7630071679333,jugar
7634769578577_1,coaligada
7638304980873,Johnhawk
7645719809098_1,recordar
7645800219232_1,teniente
7646662886098,música
7649114424352,depositados apostó
7653243146942,suelo
7662738608372,seguirá
766663960963,estado
767117134940_0,Consello
767117134940_1,York
7675042147114,obtener
7676184004391_0,suministros
7676184004391_1,jugar
768081458644,estás
7682401840165_1,Ronaldo
7687796258142,pesar
7690981596478,botín
7692755622611,apropiado
7695651954321,precisó
770037408770_1,prolonga
770037408770_2,Drunk Ejército
770143362790_0,Experiencia
770143362790_1,Río
770143362790_2,prevé
770143362790_3,sumergirse
770143362790_4,desencadenaron
770143362790_5,alternado
7702004593936,hizo
7705418000486,desembarcados
7712309142202_0,productividad
7712309142202_1,Carlos
7715517910680_1,Mozart
7722563635283,volver
7722584220806_1,público
7727769427321,hace
7731138042522,forman
7734908336479_0,guió
7734908336479_1,venció
7736796364350,rigurosa
7744125074454,exportaciones
7746657823946,pague
7750871839927_0,Ronaldo
7750871839927_1,Sidney
7750871839927_2,CascoViejo
7756581526111_1,firmaban
7756581526111_2,cumple
7757457037028,María
7763700370883,transporte
776403768686_1,irlandés
7777806997349_1,Hacienda
7788352704141_1,representativa
7788352704141_2,excluir
7788352704141_3,felicitó
7788352704141_4,eliminar
7795613806260_0,excitan
7795613806260_1,incluidos
7802817783925_1,CASA
7802817783925_2,Mundial
7805256111943_1,innumerables
7806195419152,pide
7807826052466_1,sufrió
780788790090_1,distinto
7810371938167_1,terminar
7817395244414,perder
7822920276666_1,Memorandum
7823162819515,cuestan
7823834368977,digo
7825407545871,imagino
7825479083423,seimpongan
7826810234817,fabricación
7832397846878_0,redactar
7832397846878_1,MADRID
7833269312214,Annan
783330217576_1,MesoneroMayor
7833990134271,romper
7836505650948,ganó
7836774106625,formó
7838782104008,prodigio».Y absoluto
7840186820891,requiere
7854600095094,consiguieron
7856959442579_0,dependerá
7856959442579_1,tratados
7863343233864,volcar
7863491982733_0,originó
7863491982733_1,prevenir
7865305002355_1,ampliar
7866319105357_1,hablando
786870463619_1,Asegura
7869230555787,luchan
7876818236147,Fondo
7879241155269_0,revalidado
7879241155269_1,trascurso
7879241155269_2,tiene
7879241155269_3,Madrid
7879359724075_0,bate
7879359724075_1,erótica
7879359724075_2,Colomer
7879915980005,fueron
7886454914931,realización
7887196551534_1,afectaría
7889423514944,confesaba
789122731378,sublime
789139876980,insistió
7892415749377,afrontado
7892966605756_1,seguidas
7894432544542,resumió
790025671494_1,vender
790025671494_2,aprovechar
790025671494_3,aprendió
7902887083394,jueguen
7903591161304_1,descifrar
7903591161304_2,hace
7914193634682,tomado
791579788302,buen
7916947776257,galardonado
7917556724058_1,ponerle
7917556724058_2,anunciará
7919880488473,Carlos
7921298501920_0,Liga
7921298501920_1,cuestan
793466625393,pregunta
7936371558306,conseguir
7938027482364_0,Ronaldo
7938027482364_1,Cruz
7938027482364_2,Apostolus
7949899550943_0,PP
7949899550943_1,Arrabal
7950704554383,vivido
795109466956,atentar
7951453776383_0,Bilbao
7951453776383_1,Madrid
7958439199277,proyecto lossabotajes
7959216383283,amar
7963068062444,responsabilidad
7965264238503,fijan
7966927539318,aspira
7968473078651,tuve
7972399077945_1,preferí
7981496519197_1,mes
7981496519197_2,quisieran
7981496519197_3,España.-Este
7985599827037,ven
79992338,no
8002797273643,julio
8011437694755_0,confirmada
8011437694755_1,pongo
8018230846164_1,Europa
8018230846164_2,Zidane
8030084348614,asumieron
8030363607962,participaba
8032809704866,hacer
8033071330426_0,Resources
8033071330426_1,prevenir
8033071330426_2,propusieron
8037997882471,básica
8042089749971,ocurrió
8044992664670,hacer?En
8049934008779_1,WASHINGTON
8049934008779_2,Luis
8053064170814,estrena
8060272049428,querido
8062683089994_1,Sur
8062808673018,Numancia
8064033664027,campo
8064459410707,prosiguieron
8075500156492,convierte
8075736047380,solicitó
8077209330056_1,tememos
8081034677905_0,explica
8081034677905_1,Gaal
8082190367943_1,han
8083093994019,confundir
8085339485464,asesinar
8086340275576_0,desprende
8086340275576_1,tienen
8087941097157,acepta
8091577650129_1,tengo
811180930015_0,tenía
811180930015_1,planteó
8113798747073,confirmará
8118877564415,sabe
8119400478910,ministerios
8121951270193,Miriam
8122675003284,bebiéndose
8126924569193_1,tachado
8130075222133,hijo
8131563389388,Eurofighter
8140221423676,ganar
8140565377865,cierra
8142110118452,puesto
8143632075493,señaló
8146322476905_0,sabe
8146322476905_1,vivía
8147385407402,ha entender
8155102774499_1,Barcelona
8155102774499_2,operaban
8166380385143,seducir
817383898851_0,utilicen
817383898851_1,extender
817383898851_2,cumpliendo
8176118636342,abrir
8177703753811_1,revalorizado
8183844409597,olvidado
8186644287926_0,conocer
8186644287926_1,forma
8195810858322_0,contar
8195810858322_1,tenido
8196700996524_0,Lequio
8196700996524_1,Riquelme
8197971552788_1,Mexía
8204786476646,quería
8207683928132,podría espera
8215310223919,desalojado
8215975631561,hecho
8221253502744,medidas
8221350983971_1,curso
8221350983971_2,atendidas
8221350983971_3,gran
8222858362505_0,abril
8222858362505_1,plena
8228122926949,carecí
8229804346149_0,UNRWA
8229804346149_1,mantenga
823042593756,muere
8234713211948,llegó
8237374068236_0,llena
8237374068236_1,Arnopol
8238141034733,interese
8242721534771,haber
8243092013703,censurable
8246567041472_0,separar
8246567041472_1,evacuados
8259706251517,contentarse
8277013202405_0,juega
8277013202405_1,condenados
8279343919882_0,Montreal
8279343919882_1,Haciendas
8287223686409,protagonizada
8287770744435,quejaba
8290653234526_0,defendida
8290653234526_1,decretó
8294371812956,primera
8299777661367,sacar
8301737324001_1,detenidos
8307234142895_1,Don
8307234142895_2,despegar
8307565383623_1,introducir
8310486313582_1,especialmente
8311894679929,estudian
832221105614,dicen
8327441497169_1,Patrick
83277393019_0,sexo
83277393019_1,Arnaldo
83277393019_2,Torlonia
8328271685224_1,independiente
833309774994,dio
833568158438_0,Xunta
833568158438_1,marea
8335806588216,comoafrontar
8345113479156,conseguir
8350582613138_1,Supremo
8359502797072,entrenadores
8363315273601,sufrió
8370574108389,igualado
8370637955023,realizó
8372633250520,Defender
8373586136029,logrado
8388803569562,Reino
8394519306146_1,recapacitado
8394519306146_2,imputados
8394519306146_3,abrir
839688185103_0,estimaciones
839688185103_1,enseña
8403373316166,Covite-
8403737145290,artículo
8404261458327_0,hacerse
8404261458327_1,Ética
8409281245206,Sidney
8413477667058,capitaneadas reconoció
8413539391413,tenemos
8416519683980,separar
8427295260559_1,Moneo
8427295260559_2,Marvin
8427295260559_3,dijeron
8427537758744,películas
8432615331876_1,fuerte
8433083274708,piensan
8434307984621_1,eliminarían
8440849230734_0,habían
8440849230734_1,tren
8448893518564,actuó
8454260865502,habló
845649113726,auto
8456800612491_1,estás
845687621796,publicar
846039985109,Brasil
8463284669228,pudo
8464955683297,leer
8467913995577,celebró
8467944155099,manejaba
8469966547224_1,habrá
8471665868464,anticipa
8474788465463_1,comenta
8474788465463_2,tipo
8474842741440,llevar
8477714606630,olvida
8480919745985,podría encontraron
8481014570601_1,Farmaindustria
8491349937806,Jinámar
8493280068393_1,hechos
8493280068393_2,hecho
8498197028941,hecho
8498315652099,ruso
8505358302425,tomado
8506971869542,asumir
8507672362904_0,capitaneadas
8507672362904_1,sucedido
8509628193922,gravesaltercados
851293380725,prepara
8514425374550,llevar
852534675933,industrias grandes
8531017162410,rechazó
8531479289663,escogían
8532743896419_1,mereció
8532761763389_0,sufre
8532761763389_1,Alger
8533478016601,darle
8536421956310,terremoto
8539548635070_0,generar
8539548635070_1,Sánchez
8540130337807,resultaron
8543336860332_1,ilesos
8545600145064,pasa
8545793107229,avecina
8549890468341,estrella.-
8554589568329_0,Urrutikoetxea
8554589568329_1,verse
8554589568329_2,EFE
8559986884520,desarrollar
8560900101564,dicen
8566880670107_1,originan
8566880670107_2,producirse
8570308155182,duro
8574597114424,accedió
8579726677697,interpretar
8580809884529,hizo
8582824066408,condenado
859164173776_1,paro
8592257852883_0,lavar
8592257852883_1,Kaduna
8592833143659_1,decidió
8592833143659_2,motivar
8592833143659_3,brasileñas
8596964195354_1,concede
860083945496,encuentran
860700048793,dirige
8609804061081,costado
8609870907855,produjo
8610214688849,dificultó
8610837554264,humano
8612009447337,recogidas
8614585465922,relató
8619765647209,cita
8622793238059,eliminar
8631748290957,entrar
8639828896071_0,Clyde
8639828896071_1,Ciencia
8639828896071_2,RealMadrid
8641702314521,hecho
8649067641003,originó
865486260455,hacía
8657718428771,otrascausas
8659899006919_1,causó
8659899006919_2,marítimas
8659899006919_3,vendiendo
866030151124,añadió
8666924704633,sufrir
8668821884131,excelencia
8671775612329_0,leer
8671775612329_1,traumatizó
8671775612329_2,defendía
8674084496846,falleció
867552121385_0,Montoro
867552121385_1,Fernando
8685873830803,Science
868681451056,inagotable
8688639102910_1,«
8689250147061_0,dijo
8689250147061_1,castigada
8697173704035,dice
8698490939751_0,entregado
8698490939751_1,dice
8704714319518_1,mejor
8713307707551,resolvieron
8715118171740_1,convierte
8718382192473_1,demostrado
8720818987458,Europa
8722955908359,trepar?-No
872460125520,materializan
8726339128058,aprovechar
8726926889344_0,Policía
8726926889344_1,millones
8726926889344_2,dijo
8726968514361_1,refuerzos
8731283868592_0,evoluciona
8731283868592_1,quedando
8733085173141,ejercitaron
8740416452628,sacar
8744913119718,interfieren
8746202469239,salido
8748013404105,subrayó
8755773618076,accidente
8758818877600_1,renunciar
8758818877600_2,trámite
8764164948362_1,rigurosa
8768379050974,superar
8770345009447_1,preguión
8772200146007_1,llega
8772585334615,absorbida
8774767867611,haciendo
8775888501913,relató
8784273583328_1,embarrancarlo
8790137279969,considerar
8791220609230,presenta
8800656024108,dijo
8803050864278,recuerda
8809796001654,mujer
8813299136521,suponer
8813822112217,Rey
8818281300801,llegar
8832918774741,póstumo
8837112465179,humana
8841568915704_0,fue
8841568915704_1,llevaba
8841799192579_1,gustó
8849709775399,llevaba
8854536268298,confirmó
8863118037613_0,Lierni
8863118037613_1,presentada
8865224153314,caballería
886665652216,cierto
8868341325689,vender
8873538026527_1,calmar
8876793502617,celebró
8883628579624,ganó
8884391244234,va
8887232704681_1,desplazadoshasta
8888578398369,detuvieron
8896967072435,viernes
890894494073_1,hemos
8924114708494_0,logró
8924114708494_1,Dicen
892778000012,obtener
8930339328321_1,tener
8930339328321_2,ETA
8931737211706_1,expandieron
8937877873807_1,saltando
8942025209903,mayo
8946339318771,entiendeque
8951085312099,administrar
8955941922423_0,atraviesan
8955941922423_1,vamos vive
8957965631069,Ayuntamientos
8965106718182,dar
896603734933,viajarán
8967388142967_1,afanará
8970767720753,eliminó
8984606071715,cuestionó
8984808769383,ganar
8986217541818,estudiará
8989821127105_0,dijo
8989821127105_1,cambios
8994999652034_0,Fool
8994999652034_1,Iglesias
8995441132481,encontramos
8996637018262_0,sacar
8996637018262_1,conlleva
8997177045759_1,ex
8997177045759_2,operación
8997177045759_3,primer
8999791112436_0,Day
8999791112436_1,oil
9002188100175,Somoza
9002217632190,continuaron
9003930901662,tengo
9008359542988,escritor
9008720067899_1,tener
9009803778666,otorga
9016938525782,llevó
9018514188853_1,impulsado
9020867310166,posible
9026597666456_1,pop
9032501670437_1,importante
9033448748603_0,sabe
9033448748603_1,coinciden
9033448748603_2,categoría
9038930296952,tuvo
9043299446715,Ronaldo
9044941896317_0,niegan
9044941896317_1,etarra
9048358949984,notables
9055062869870,detectar
9057159365247_0,ganar
9057159365247_1,emprendiendo
906067299801,digamos
9063558375886,británico
9063796347521,momento
9070315963696_1,registrará
9070315963696_2,amanecerá
9070315963696_3,entrar
9070486538909,español
9080290601417_0,complementaria
9080290601417_1,Palacios
9087457659463,da
9091100133123,pensado
9092123469121_0,llamarse
9092123469121_1,tenga
9092123469121_2,arrestado
9092252425810,Olmo
9092954049919,espaciadas
909995548792_1,advirtió
9105307936399,decretó
9107429411171_0,peligro».Por
9107429411171_1,domadores
9109092933957_1,interferir
9110057273107,robar
9112884443597_1,Madrid
9112884443597_2,confería
9114198472218,plantea
9135208098369_0,fue obtener
9135208098369_1,decían
9135208098369_2,Noviembre
9135208098369_3,genético
9140125054415_1,disperse
9140125054415_2,buscar
914340507165_0,ha
914340507165_1,desarrollar
9145255999784,argumentó
9147308083266_1,comenzar
9151461782767,presentó
9151681513629_1,falleció
9153345055314,trata
9154438967271,aseguran
9172324281082,infectar
9173849194456,participantesen
917715766023,sociólogo
9178560234808,ósea anual
9181149319418,trajo
9183937650848,aplicando
918980435633_1,consideran
9190212292845_1,estrelló
9191864475715,concreta
9194179853628,indicó
9194571738149,Makelele
9194584632887_0,confirmaron
9194584632887_1,conseguí
9199365931774_1,Barber
9208357307046,creo
9210800941651,cambio
9211698600020,condiciona
9212752569821_0,noenjuicia
9212752569821_1,destacó
9212752569821_2,quedado
9212752569821_3,mejorando
921332201501,explica
9216947423047_1,prestigiosos
9219405560177,vuela
9219927853800_0,Prefiero
9219927853800_1,mariquita
9220402515543,príncipe
9231630178691,texto
9233399815893,ocurrió
9245716091261,rechazado
9247449396019_0,realizar
9247449396019_1,convivir
9252514366171_0,subían triunfar
9252514366171_1,joven
9260729745200_1,permaneció
9272037145239,cielos
9272878841030_1,Compadezco
9280027439087,peligroso
9287170213569,doy
9288702342328,impuestos
9289036723635_1,pasado
9289036723635_2,falta
9293969782307_1,trajo
929582746017_1,explicó
9295950937051_0,Don
9295950937051_1,Arteta
9295950937051_2,Galdakao
9312119438804_0,semana
9312119438804_1,seleccionado
9317733648558,concurso
9319079841287_0,expulsan
9319079841287_1,concreta
9321718620770,consideración
9329453214637,situará
9330858576763,ideas
933281379789,ver
9333410892666_1,afirmó
9336994821888_0,llenará
9336994821888_1,cruzaba
9337379951501_1,volar
9337987200362_1,Brasil
9343744873139_0,reyes
9343744873139_1,es
9346781384005_1,iniciado
9346781384005_2,evolutivas
9348135356634,blanco
9350439801947,formar
9352881186161,llenar
9354900341499,reyes
9357339208240,dejado hacer
9357443846939,originar
9359851206045,suficiente
936579336246_0,Madrid
936579336246_1,Japón
9367075921656,procura
9372630397876,Zidane
9375236387491,participar
9376908102031,entró
9378714933589_1,José
9378714933589_2,barrer
9379238480079,toro
9380855496342_1,incluyen
9380855496342_2,WASHINGTON
938124668401_1,viven
938654508790,logro
9387050709350,ondeando
9397795373744,volver
9400233285604,dosis
9406903668339,reunir
9418968836373,dado
9431728370377,guste
9433823625648,pagaría
9434159944589_1,Anderson
9438723214078_1,regulan
9441547106738,convertirse
9454130244674,Koutsky
9461142284902_1,stalinismo
9461142284902_2,PSOE
9461142284902_3,tuvo
9462013874151_1,amenazaba
9462881177066,realización
9462959500788,tuvo
9463479298738,cayó
946949945702,tienen
9469866402542,colocó
9476974153453,llamarse
9478317301789,pueblo
9484984044744,explicó
9488017248336,advierte
9491686396300_1,limitado
949633816911,mundo
9496469156632,dice
9498565393459_0,también
9498565393459_1,jugar
9502142014689,tren
9511077070257,definen
9515344243988,llega
9515905240473_1,tuvo
9515905240473_2,Madrid
951894163393,detener
952976541685_1,creativas
9530954002774_0,perder
9530954002774_1,DVD
9531523375990_1,tuvo
954292854425_0,ambiental
954292854425_1,Anchuras
954292854425_2,corriente
9546886700910,enero
9547767516966_1,resolver
9548201872004,aparecieron
9550654638794,cumple
9551973646778,consigue
9559213639849,explicó
9561691180954,acusa
95687049377,subrayó
9572144679165,flexibilización
9577579180620,pidió
9580492693269_1,Go
9583580533659_0,Serrano
9583580533659_1,desencadenaron
9583580533659_2,Consejo
9585296439931_1,España
9595488210609_1,compró
9604439603277,creo
9610942202743,Solicita
961117221155,impulsor
961213736269_0,residentesen
961213736269_1,reclamando
961213736269_2,Solicita
9612943050695_0,Lequio
9612943050695_1,llega
9613493115614,total
9615778983106_1,´
9615778983106_2,dieron
9619157051107_1,determinar
9619157051107_2,Laxe
9619343587341,Miike
9619587434093,códigos
962979748902_1,asegurasen
9634605448637,ilusión
9635726064411,empresario
9637002180567,zona
9642820549468,ocurrido
9644806114262_1,temblor
9644806114262_2,quiere
9644806114262_3,tenía
9644806114262_4,ponía
9649164627952,confiesan
9652066885087,Madrid
966205735023,gala
9667297254078,coste
9671753046801_1,"veinte""Rusia"
9671753046801_2,representa
9673750317680,tendrán
9675657968628,cree
9676013272606_1,Abbas
9678721688162_0,destacó
9678721688162_1,vacía
9680820031940,señaló
968090689298,mañana
9680961388529,mueve
9683216585552_0,pasajes
9683216585552_1,rescisión
9696115264516,temporada
9710246198385,realizado
9710443225346_1,campeona
9712189920197_1,es
9714338453237,visto
9716396100713,añadió
9724788643097,cayó
9725322790464_1,Palmas
9725322790464_2,tenido
9725322790464_3,ostentaba
972812401575_0,sabe
972812401575_1,terminó
9734957266244,saldrá
9735386899242,Tribunal
9739371647944,salieran
9741161512288_1,años.-Sí
9752860694781,otrora
9755002008063,sacudió
9759666724869_1,adoptarán
9761944271494,tasa
9762406002420,junio
9766931279233_1,»
9766931279233_2,España
9769823933522,Mirabel
9780968643999,Alex
9784932252620,José
9784993492035_1,detuvo
9788545789881,kilos
979130278449,manifestó
9796967221215_1,dice
9796967221215_2,mueve
9796967221215_3,especialistas
9800740082803_1,opuso
9800833140576,administrar
9803693966358_0,notarse
9803693966358_1,prisión
9804897829499,cambiado
9805734395215_0,composición
9805734395215_1,quiero
9806901535877_1,dejado
9807327221758,volar
9814460898479,periodo
9814560172889_0,crean
9814560172889_1,reproducir
9814560172889_2,Vila
9815305571955,cedió
9816893010910_1,gusta
9824402084173_1,igual
9833794593359,guste
9835748259523,acabó
9837253699940_1,tendrán
9838958701133_1,científica
9838976682887,tendremos
9842730917812,afrenta
984316905089_1,acercara
9843311945825,tesis
9846914664072,advirtió
9849286671547,guiarme
9851216067172,mediada
9856145813615,Patricia
9859560775426_1,recordaba
9859560775426_2,Tel
9865221651086_1,realizó
9866970076871,supuesto
9869628233329_1,hemos
9873836106954_0,dejó
9873836106954_1,visita
9881961670282,consideración
9882665786883,traduzco
9891512211323,forma
9898833379540,Aire
9899377309450_1,Piqué
9899377309450_2,Geovanni
9901285480912_1,fuera
9905909645587,obtener
9911257993493,esclarecerá
9911355569590,ingresado
9913848142574,procedimientos
9919432316320,asesinar
9925018941978_1,Villagarcía
9930593317213_0,asegura
9930593317213_1,aprovechar
9933085889584_1,Washington
9935327029432,puesto
9941615683181,alimento
9942161897787,capacidad
9942635602536,ganado
9943935759226,demuestra
9944529729425,minimizar
9953489179301,Manuel
9953490933324,añadió
9958729288926_1,resulta
9958729288926_2,amplia
9962582556623,tentado
9972825759104,explicaron
9976467529212,elaborando
9980677565725,llega
9980914782522_0,da
9980914782522_1,son estimó
9985354803732_1,considera
9985914481834_0,Vera
9985914481834_1,Sepla
9985914481834_2,puerta
999285751546,visto
9993237053537_0,decidió
9993237053537_1,afrontado
9993237053537_2,dirigía
9993237053537_3,humanos
9998563674489,Sánchez
